City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,chillicothe,39.3331,-82.9824,42.39,52,0,3.44,US,1707262620
273,colares,38.7992,-9.4469,61.75,97,38,10.0,PT,1707262620
274,queenstown,-31.8976,26.8753,67.71,62,85,5.41,ZA,1707262621
275,margate,51.3813,1.3862,52.88,88,100,18.99,GB,1707262621
276,port hedland,-20.3167,118.5667,84.25,74,44,8.05,AU,1707262621
277,cururupu,-1.8283,-44.8683,76.96,95,47,3.49,BR,1707262622
278,al burayqah,30.4062,19.5739,60.44,67,0,5.99,LY,1707262622
279,yaren,-0.5472,166.916,84.24,74,91,13.96,NR,1707262622
280,lajere,11.9797,11.4443,66.67,26,81,11.32,NG,1707262623
281,dawei,14.0833,98.2,63.79,49,5,3.58,MM,1707262623
282,erenhot,43.6475,111.9767,-1.43,98,23,4.76,CN,1707262623
283,tyukhtet,56.5389,89.3011,12.87,92,100,4.52,RU,1707262624
284,misratah,32.3754,15.0925,61.23,55,28,6.15,LY,1707262624
285,machico,32.7,-16.7667,65.03,69,20,8.05,PT,1707262624
286,basco,20.4487,121.9702,76.1,80,19,10.58,PH,1707262625
287,cajazeiras,-6.8903,-38.5553,87.26,34,77,7.34,BR,1707262625
288,gebeit,21.0667,36.3167,52.75,78,26,4.12,SD,1707262625
289,alaghsas,17.0187,8.0168,62.46,22,96,14.5,NE,1707262626
290,sitka,57.0531,-135.33,39.09,81,75,5.75,US,1707262587
291,hermanus,-34.4187,19.2345,66.79,83,24,16.22,ZA,1707262627
292,mount pearl,47.5166,-52.7813,32.85,95,100,27.63,CA,1707262333
293,hun,29.1268,15.9477,55.08,36,0,4.74,LY,1707262627
294,xiongzhou,25.1167,114.3,41.65,94,100,4.47,CN,1707262628
295,kerikeri,-35.2268,173.9474,77.92,70,11,1.01,NZ,1707262628
296,port alberni,49.2413,-124.8028,45.12,64,39,1.07,CA,1707262628
297,hollidaysburg,40.4273,-78.3889,37.47,55,0,0.0,US,1707262353
298,ar ruways,24.1103,52.7306,64.33,53,29,14.2,AE,1707262629
299,arkhangel'sk,64.5401,40.5433,-12.87,75,20,0.0,RU,1707262629
300,dhidhdhoo,6.8833,73.1,81.34,72,79,8.1,MV,1707262630
301,rio preto da eva,-2.6994,-59.6997,82.49,68,84,2.59,BR,1707262630
302,benguela,-12.5763,13.4055,80.2,78,94,0.49,AO,1707262630
303,bikenibeu village,1.3673,173.1241,87.76,74,75,5.75,KI,1707262631
304,retreat,38.8245,-85.8533,41.95,65,62,3.0,US,1707262631
305,island harbour,50.724,-1.2758,53.31,93,100,14.0,GB,1707262632
306,myitkyina,25.3833,97.4,54.95,99,35,2.13,MM,1707262633
307,nova sintra,14.8667,-24.7167,70.11,71,0,9.66,CV,1707262633
308,bukama,-9.2,25.85,68.2,97,100,3.44,CD,1707262633
309,lensk,60.7253,114.9278,10.69,95,100,5.86,RU,1707262633
310,malvan,16.0667,73.4667,77.0,63,0,11.03,IN,1707262634
311,umm qasr,30.0405,47.9168,53.47,49,6,9.75,IQ,1707262634
312,kailua-kona,19.6406,-155.9956,78.76,77,75,6.91,US,1707262609
313,quellon,-43.1167,-73.6167,54.52,91,77,15.3,CL,1707262342
314,leava,-14.3,-178.1667,81.81,81,84,7.94,WF,1707262635
315,manado,1.487,124.8455,79.57,89,20,2.3,ID,1707262635
316,ust'-ilimsk,58.0006,102.6619,13.44,97,98,5.01,RU,1707262605
317,vernon,50.2581,-119.2691,36.75,93,100,0.0,CA,1707262443
318,tahe,52.3333,124.7333,9.59,94,100,3.89,CN,1707262636
319,mushabani,22.5167,86.45,65.59,81,0,2.77,IN,1707262637
320,markha,62.1053,129.7269,-36.44,67,100,2.24,RU,1707262637
321,raja,8.4596,25.678,70.41,18,54,5.93,SS,1707262637
322,kristinestad,62.2743,21.376,-2.85,100,86,4.92,FI,1707262638
323,luderitz,-26.6481,15.1594,66.09,82,68,12.53,NA,1707262638
324,papao,-17.75,-149.55,83.88,90,95,18.1,PF,1707262638
325,amparafaravola,-17.5833,48.2167,68.99,99,100,1.19,MG,1707262639
326,igarka,67.4667,86.5833,6.31,95,100,9.64,RU,1707262639
327,saint-leu,-21.15,55.2833,76.03,75,39,3.44,RE,1707262639
328,revda,56.801,59.9303,26.06,95,100,11.16,RU,1707262640
329,uacu cungo,-11.3634,15.1208,64.29,99,100,2.84,AO,1707262640
330,cockburn town,21.4612,-71.1419,76.96,65,40,19.57,TC,1707262513
331,katsuren-haebaru,26.3369,127.8719,65.17,80,100,5.75,JP,1707262641
332,greenville,35.6127,-77.3663,41.14,61,0,13.8,US,1707262596
333,chegdomyn,51.1167,133.0167,-16.38,99,99,0.56,RU,1707262641
334,rodolfo sanchez taboada,31.7167,-116.5667,57.09,78,88,7.0,MX,1707262642
335,panaba,21.2833,-88.2667,67.84,67,82,9.24,MX,1707262642
336,grand falls-windsor,48.9332,-55.6649,27.5,91,100,16.82,CA,1707262642
337,isiro,2.7739,27.616,70.34,49,41,3.04,CD,1707262643
338,barika,35.389,5.3658,50.81,38,81,4.43,DZ,1707262643
339,geraldton,-28.7667,114.6,81.01,21,0,19.57,AU,1707262643
340,walvis bay,-22.9575,14.5053,67.15,88,66,0.0,NA,1707262644
341,mananjary,-21.2167,48.3333,75.31,94,99,7.7,MG,1707262644
342,ephraim,39.3597,-111.5863,47.8,51,91,7.27,US,1707262645
343,alta,69.9689,23.2717,7.86,85,75,4.61,NO,1707262645
344,tocopilla,-22.092,-70.1979,75.31,75,3,2.53,CL,1707262645
345,welkom,-27.9864,26.7066,70.63,17,0,6.22,ZA,1707262646
346,mil'kovo,55.6078,37.7956,22.51,100,91,3.49,RU,1707262646
347,ostashkov,57.1467,33.1075,-3.26,100,98,3.13,RU,1707262647
348,puerto aysen,-45.4,-72.7,50.45,98,100,8.9,CL,1707262647
349,fukuecho,32.6881,128.8419,44.96,70,75,8.05,JP,1707262648
350,suva,-18.1416,178.4415,83.68,70,75,10.36,FJ,1707262648
351,maksatikha,57.797,35.8825,-3.6,100,91,3.27,RU,1707262648
352,bluefields,12.0137,-83.7635,78.87,69,20,4.61,NI,1707262649
353,santa rosa,14.3122,121.1114,80.08,78,37,6.93,PH,1707262649
354,ulsteinvik,62.3432,5.8487,24.08,75,100,3.0,NO,1707262649
355,brisas de zicatela,15.8369,-97.0419,81.12,69,75,3.44,MX,1707262650
356,kolwezi,-10.7148,25.4667,60.15,93,90,1.83,CD,1707262589
357,sydney,-33.8679,151.2073,73.47,70,75,23.02,AU,1707262546
358,karystos,38.0133,24.4161,60.42,83,14,1.01,GR,1707262650
359,caleta de carquin,-11.0925,-77.6267,77.54,77,20,9.46,PE,1707262651
360,kourou,5.1552,-52.6478,77.05,92,73,8.75,GF,1707262651
361,dudinka,69.4058,86.1778,-3.32,87,100,8.01,RU,1707262651
362,la carolina,38.2756,-3.6153,44.01,93,37,2.48,ES,1707262652
